"Celda","Capa"
"Celda2.1","IPL"
"Celda3.1","IPL"
"Celda4.1","IPL"
"Celda5.1","IPL"
"Celda6.1","IPL"
"Celda7.1","IPL"
"Celda1.2","IPL"
"Celda2.2","IPL"
"Celda3.2","IPL"
"Celda4.2","IPL"
"Celda5.2","IPL"
"Celda6.2","IPL"
"Celda7.2","IPL"
"Celda8.2","IPL"
"Celda1.3","IPL"
"Celda2.3","IPL"
"Celda3.3","IPL"
"Celda4.3","IPL"
"Celda5.3","IPL"
"Celda6.3","IPL"
"Celda7.3","IPL"
"Celda8.3","IPL"
"Celda1.4","IPL"
"Celda2.4","IPL"
"Celda3.4","IPL"
"Celda4.4","IPL"
"Celda5.4","IPL"
"Celda6.4","IPL"
"Celda7.4","IPL"
"Celda8.4","IPL"
"Celda1.5","IPL"
"Celda2.5","IPL"
"Celda3.5","IPL"
"Celda4.5","IPL"
"Celda5.5","IPL"
"Celda6.5","IPL"
"Celda7.5","IPL"
"Celda8.5","IPL"
"Celda2.6","IPL"
"Celda3.6","IPL"
"Celda4.6","IPL"
"Celda5.6","IPL"
"Celda6.6","IPL"
"Celda7.6","IPL"
"Celda8.6","IPL"
"Celda1.7","IPL"
"Celda2.7","IPL"
"Celda3.7","IPL"
"Celda4.7","IPL"
"Celda5.7","IPL"
"Celda6.7","IPL"
"Celda7.7","IPL"
"Celda2.8","IPL"
"Celda3.8","IPL"
"Celda4.8","IPL"
"Celda5.8","IPL"
"Celda6.8","IPL"
"Celda8.8","IPL"
"Celda1.1","GCL"
"Celda2.1","GCL"
"Celda3.1","GCL"
"Celda4.1","GCL"
"Celda5.1","GCL"
"Celda6.1","GCL"
"Celda7.1","GCL"
"Celda8.1","GCL"
"Celda1.2","GCL"
"Celda2.2","GCL"
"Celda3.2","GCL"
"Celda4.2","GCL"
"Celda5.2","GCL"
"Celda6.2","GCL"
"Celda7.2","GCL"
"Celda8.2","GCL"
"Celda1.3","GCL"
"Celda2.3","GCL"
"Celda3.3","GCL"
"Celda4.3","GCL"
"Celda5.3","GCL"
"Celda6.3","GCL"
"Celda7.3","GCL"
"Celda8.3","GCL"
"Celda1.4","GCL"
"Celda2.4","GCL"
"Celda3.4","GCL"
"Celda4.4","GCL"
"Celda5.4","GCL"
"Celda6.4","GCL"
"Celda7.4","GCL"
"Celda8.4","GCL"
"Celda1.5","GCL"
"Celda2.5","GCL"
"Celda3.5","GCL"
"Celda4.5","GCL"
"Celda5.5","GCL"
"Celda6.5","GCL"
"Celda7.5","GCL"
"Celda8.5","GCL"
"Celda1.6","GCL"
"Celda2.6","GCL"
"Celda3.6","GCL"
"Celda4.6","GCL"
"Celda5.6","GCL"
"Celda6.6","GCL"
"Celda7.6","GCL"
"Celda8.6","GCL"
"Celda1.7","GCL"
"Celda2.7","GCL"
"Celda3.7","GCL"
"Celda4.7","GCL"
"Celda5.7","GCL"
"Celda6.7","GCL"
"Celda7.7","GCL"
"Celda8.7","GCL"
"Celda1.8","GCL"
"Celda3.8","GCL"
"Celda4.8","GCL"
"Celda5.8","GCL"
"Celda6.8","GCL"
"Celda7.8","GCL"
"Celda1.1","RNFL"
"Celda2.1","RNFL"
"Celda4.1","RNFL"
"Celda8.1","RNFL"
"Celda1.2","RNFL"
"Celda2.2","RNFL"
"Celda3.2","RNFL"
"Celda4.2","RNFL"
"Celda5.2","RNFL"
"Celda6.2","RNFL"
"Celda8.2","RNFL"
"Celda1.3","RNFL"
"Celda2.3","RNFL"
"Celda3.3","RNFL"
"Celda4.3","RNFL"
"Celda5.3","RNFL"
"Celda7.3","RNFL"
"Celda8.3","RNFL"
"Celda1.4","RNFL"
"Celda2.4","RNFL"
"Celda3.4","RNFL"
"Celda4.4","RNFL"
"Celda5.4","RNFL"
"Celda6.4","RNFL"
"Celda7.4","RNFL"
"Celda8.4","RNFL"
"Celda1.5","RNFL"
"Celda2.5","RNFL"
"Celda3.5","RNFL"
"Celda6.5","RNFL"
"Celda7.5","RNFL"
"Celda8.5","RNFL"
"Celda1.6","RNFL"
"Celda2.6","RNFL"
"Celda3.6","RNFL"
"Celda6.6","RNFL"
"Celda7.6","RNFL"
"Celda8.6","RNFL"
"Celda1.7","RNFL"
"Celda2.7","RNFL"
"Celda3.7","RNFL"
"Celda4.7","RNFL"
"Celda5.7","RNFL"
"Celda6.7","RNFL"
"Celda7.7","RNFL"
"Celda8.7","RNFL"
"Celda1.8","RNFL"
"Celda2.8","RNFL"
"Celda3.8","RNFL"
"Celda4.8","RNFL"
"Celda5.8","RNFL"
"Celda6.8","RNFL"
"Celda7.8","RNFL"
"Celda8.8","RNFL"
